seq_id;Rota Real;Rota Gerada;Profit Real;Profit Gerado;Budget Real;Budget Gerado;Recall;Recall Total;Precision; Precision Total;Tempo;Tempo Total
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;1;0.3;0.3;0.236849;0.236849
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.833333;0.142857;0.221429;0.399363;0.636212
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.888889;0.3;0.247619;0.241043;0.877255
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.916667;0.6;0.335714;0.007624;0.884879
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.866667;0.142857;0.297143;0.383989;1.26887
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.888889;0.3;0.297619;0.230207;1.49907
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.857143;0.142857;0.27551;0.379127;1.8782
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.875;0.3;0.278571;0.227099;2.1053
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.888889;0.6;0.314286;0.007864;2.11316
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.9;0.6;0.342857;0.007546;2.12071
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.909091;0.6;0.366234;0.008178;2.12889
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.916667;0.3;0.360714;0.237245;2.36613
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.897436;0.142857;0.343956;0.382151;2.74829
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.904762;0.3;0.340816;0.228449;2.97673
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.888889;0.142857;0.327619;0.392087;3.36882
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.895833;0.3;0.325893;0.232001;3.60082
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.901961;0.3;0.32437;0.236979;3.8378
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.888889;0.142857;0.314286;0.37945;4.21725
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.894737;0.6;0.329323;0.007698;4.22495
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.9;0.6;0.342857;0.012185;4.23713
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.888889;0.142857;0.333333;0.394476;4.63161
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.878788;0.142857;0.324675;0.402616;5.03423
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.869565;0.142857;0.31677;0.38983;5.42406
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.861111;0.142857;0.309524;0.379104;5.80316
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.853333;0.142857;0.302857;0.388732;6.19189
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.846154;0.142857;0.296703;0.393696;6.58559
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.851852;0.6;0.307937;0.007755;6.59334
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.857143;0.6;0.318367;0.007761;6.6011
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.862069;0.3;0.317734;0.248291;6.8494
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.855556;0.142857;0.311905;0.391757;7.24115
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.849462;0.142857;0.306452;0.379346;7.6205
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.854167;0.3;0.30625;0.237731;7.85823
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.848485;0.142857;0.301299;0.377449;8.23568
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.852941;0.6;0.310084;0.007914;8.24359
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.847619;0.142857;0.305306;0.383132;8.62672
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.842593;0.142857;0.300794;0.376411;9.00314
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.837838;0.142857;0.296525;0.377627;9.38076
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.842105;0.6;0.304511;0.007342;9.3881
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.837607;0.142857;0.300366;0.376602;9.76471
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.841667;0.6;0.307857;0.007588;9.77229
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.837398;0.142857;0.303833;0.375203;10.1475
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.833333;0.142857;0.3;0.372624;10.5201
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.837209;0.3;0.3;0.236581;10.7567
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.833333;0.142857;0.296429;0.377391;11.1341
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.837037;0.6;0.303175;0.009044;11.1431
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.84058;0.6;0.309627;0.008869;11.152
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.843972;0.6;0.315805;0.007764;11.1598
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.847222;0.3;0.315476;0.242315;11.4021
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.843537;0.142857;0.311953;0.381085;11.7832
1862;"{2, 5, 22}";"{2, 24, 23, 3, 19, 20, 18, 25, 4, 30, 8, 12, 17, 22}";371.785;1638.28;12251;11755;0.666667;0.84;0.142857;0.308571;0.384728;12.1679
1827;"{2, 5, 12}";"{2, 5, 1, 3, 12}";654.845;1110.35;10964;10963;1;0.843137;0.6;0.314286;0.007592;12.1755
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.846154;0.3;0.314011;0.255958;12.4314
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.849057;0.3;0.313747;0.233617;12.6651
1874;"{5, 12, 25}";"{5, 1, 3, 11, 12, 8, 30, 4, 14, 25}";567.408;1633.23;16954;16675;1;0.851852;0.3;0.313492;0.241967;12.907
