seq_id;Rota Real;Rota Gerada;Profit Real;Profit Gerado;Budget Real;Budget Gerado;Recall;Recall Total;Precision; Precision Total;Tempo;Tempo Total
8484;"{16, 5, 26}";"{16, 5, 17, 6, 1, 22, 19, 11, 26}";8823.5;14035;8948;8697;1;1;0.333333;0.333333;0.032152;0.032152
11671;"{3, 10, 6}";"{3, 19, 1, 22, 16, 5, 17, 26, 11, 6}";3551.45;15190;17086;16044;0.666667;0.833333;0.2;0.266667;0.156495;0.188647
13318;"{11, 3, 19}";"{11, 3, 19}";3231.64;3231.64;4425;2798;1;0.888889;1;0.511111;0.003135;0.191782
5753;"{2, 28, 3}";"{2, 26, 17, 16, 30, 10, 8, 21, 6, 19, 11, 3}";3420;13818.5;17286;16282;0.666667;0.833333;0.166667;0.425;0.142681;0.334463
12281;"{11, 28, 19}";"{11, 3, 19}";2428.22;3230.72;6078;5250;0.666667;0.8;0.666667;0.473333;0.003165;0.337628
3460;"{16, 1, 3}";"{16, 30, 5, 1, 22, 19, 28, 11, 3}";3568;12081.5;5901;5690;1;0.833333;0.333333;0.45;0.039441;0.377069
625;"{2, 5, 6}";"{2, 5, 6}";8168.02;8168.02;6410;5325;1;0.857143;1;0.528571;0.019313;0.396382
9292;"{3, 22, 16, 30}";"{3, 11, 6, 17, 5, 1, 22, 19, 16, 30}";3842.73;13985.2;10499;10243;1;0.875;0.4;0.5125;0.073674;0.470056
685;"{16, 5, 17, 2}";"{16, 30, 5, 17, 6, 28, 19, 3, 11, 1, 22, 2}";10384.3;16237.9;19573;16935;1;0.888889;0.333333;0.492593;0.166879;0.636935
5753;"{2, 28, 3}";"{2, 26, 17, 16, 30, 10, 8, 21, 6, 19, 11, 3}";3420;13818.5;17286;16282;0.666667;0.866667;0.166667;0.46;0.149636;0.786571
11100;"{5, 16, 1, 26}";"{5, 6, 17, 16, 22, 1, 28, 26}";9301.5;12324;7385;7183;1;0.878788;0.5;0.463636;0.025626;0.812197
11671;"{3, 10, 6}";"{3, 19, 1, 22, 16, 5, 17, 26, 11, 6}";3551.45;15190;17086;16044;0.666667;0.861111;0.2;0.441667;0.159429;0.971626
8484;"{16, 5, 26}";"{16, 5, 17, 6, 1, 22, 19, 11, 26}";8823.5;14035;8948;8697;1;0.871795;0.333333;0.433333;0.029437;1.00106
12947;"{5, 30, 1}";"{5, 2, 6, 1}";6183.67;8671.34;6252;6206;0.666667;0.857143;0.5;0.438095;0.015603;1.01667
12807;"{13, 19, 28}";"{13, 27, 11, 19, 1, 22, 5, 17, 6, 16, 28}";1712.5;12872.5;13069;13068;1;0.866667;0.272727;0.427071;0.05005;1.06672
6161;"{16, 3, 26}";"{16, 5, 17, 2, 6, 1, 22, 28, 19, 3, 26}";4684.5;16683.4;14691;14595;1;0.875;0.272727;0.417424;0.109409;1.17613
6757;"{11, 2, 17}";"{11, 19, 1, 22, 16, 5, 6, 17}";3955;12428.5;5581;5431;0.666667;0.862745;0.25;0.407576;0.020427;1.19655
6161;"{16, 3, 26}";"{16, 5, 17, 2, 6, 1, 22, 28, 19, 3, 26}";4684.5;16683.4;14691;14595;1;0.87037;0.272727;0.400084;0.123639;1.32019
232;"{11, 3, 6}";"{11, 19, 28, 1, 22, 5, 17, 16, 6}";2932;12799;7626;7088;0.666667;0.859649;0.222222;0.390723;0.032628;1.35282
13565;"{19, 28, 5}";"{19, 28, 1, 22, 16, 5}";6961.5;9739.5;3944;3462;1;0.866667;0.5;0.396187;0.00819;1.36101
685;"{16, 5, 17, 2}";"{16, 30, 5, 17, 6, 28, 19, 3, 11, 1, 22, 2}";10384.3;16237.9;19573;16935;1;0.873016;0.333333;0.393194;0.177383;1.53839
13594;"{2, 28, 19}";"{2, 17, 6, 5, 30, 16, 10, 8, 21, 4, 1, 22, 19}";3549.42;16497.5;12734;12214;0.666667;0.863636;0.153846;0.382314;0.124131;1.66252
